trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,0,-168.15235090051368,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9950041652780258}",25,0,-21.97653886249776,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,0,-52.562709972379885,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9800665778412416}",25,18,-10.617333695718793,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9689124217106447}",30,0,-204.3300710706555,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-60.30697323233478,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9393727128473789}",20,0,-87.70198944052447,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-41.76285382413209,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,0,-49.27418326738301,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8775825618903728}",35,0,-65.81674903817208,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",0
