trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,0,-156.05250152822092,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9950041652780258}",30,0,-161.70807558556353,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,0,-37.42929270996468,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9800665778412416}",30,0,-65.51049888377804,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9689124217106447}",20,0,-136.85352543702467,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-42.15122275052462,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9393727128473789}",25,0,-82.34379937925748,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9210609940028851}",30,2,-146.7106186091274,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.9004471023526769}",20,0,-35.62210981423066,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-111.47316004270064,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8525245220595057}",25,0,-93.4807700684919,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8253356149096782}",20,0,-50.08560437732916,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.7960837985490558}",20,0,-78.47894744484415,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7648421872844884}",25,0,-103.19168558319767,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7316888688738209}",20,15,-11.836312489239802,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.6967067093471654}",25,0,-81.82134794923388,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.6599831458849821}",20,0,-206.34003969961063,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 5}",0
